package	symbol-name	home-package	kind	arglist-if-publicly-documented	arglist-observed-in-image	docstring-present	shared-print-name-with-other-provider	shared-print-name-is-EQ-identity	cross-application-to-foreign-provider-object	observed-value-if-nullary-declaration	role	notes
LISP-PLUS-SURFACE2	SURFACE2-POLICY-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	"4c504344002202126c6973702d706c75732d737572666163653206706f6c69637902086365696c696e67730130"	declaration	no additional observation
LISP-PLUS-SURFACE2	SURFACE2-POLICY-VERSION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	1	declaration	no additional observation
LISP-PLUS-SURFACE2	SURFACE2-PROCEDURE-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	"4c504344002202126c6973702d706c75732d73757266616365320970726f636564757265020b6d6163726f657870616e640130"	declaration	no additional observation
LISP-PLUS-SURFACE2	SURFACE2-PROCEDURE-VERSION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	3	declaration	no additional observation
LISP-PLUS-SURFACE2	SURFACE2-PROTOCOL-REFUSAL-CODES	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	(:SOURCE-FORM-NOT-A-CALL :SOURCE-FORM-HEAD-NOT-A-SYMBOL :OPERATION-NOT-DECLARED :OCCURRENCE-TAG-NOT-IDENTIFIER :SOURCE-TERM-UNREPRESENTABLE :SOURCE-TERM-SHARED-STRUCTURE :SOURCE-DEPTH-EXCEEDED :SOURCE-NODES-EXCEEDED :SOURCE-TERM-OCTETS-EXCEEDED :NOT-A-KNOWN-SURFACE2-CONSTRUCT :SOURCE-NOT-RECONSTRUCTIBLE :EXPANDED-TERM-UNREPRESENTABLE :EXPANDED-TERM-SHARED-STRUCTURE :EXPANDED-DEPTH-EXCEEDED :EXPANDED-NODES-EXCEEDED :EXPANDED-TERM-OCTETS-EXCEEDED :NON-EXHAUSTIVE-MATCH :DUPLICATE-PATTERN :UNREACHABLE-PATTERN :PATTERN-NOT-IN-GRAMMAR :MATCH-VAR-NOT-A-SYMBOL :WITH-OUTCOME-BINDING-MALFORMED :FACET-BINDING-MALFORMED :NOT-A-SEAT-OUTCOME)	declaration	no additional observation
LISP-PLUS-SURFACE2	SURFACE2-REFUSAL-CODE-CATALOG	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	declaration	no additional observation
LISP-PLUS-SURFACE2	SURFACE2-VOCABULARY-GUARD	LISP-PLUS-SURFACE2	function	(STRINGS &KEY (CONTEXT "declared surface"))	(STRINGS &KEY (CONTEXT "declared surface"))	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	other	no additional observation
LISP-PLUS-SURFACE2	TERM2-KINDS	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	("SYMBOL" "INTEGER" "STRING" "LIST")	declaration	no additional observation
LISP-PLUS-SURFACE2	TRY-PERFORM-EXPANSION	LISP-PLUS-SURFACE2	function	(REQUEST)	(REQUEST)	yes	yes	no -- 0 of 54 shared print-names are EQ (measured)	not-tested-not-a-one-argument-reader	not-a-nullary-declaration	door (expansion action)	no additional observation
LISP-PLUS-SURFACE2	TRY-REQUEST-EXPANSION	LISP-PLUS-SURFACE2	function	(SOURCE-FORM OPERATION OCCURRENCE-TAG)	(SOURCE-FORM OPERATION OCCURRENCE-TAG)	yes	yes	no -- 0 of 54 shared print-names are EQ (measured)	not-tested-not-a-one-argument-reader	not-a-nullary-declaration	door (expansion action)	no additional observation
LISP-PLUS-SURFACE2	VALIDATED-STORE-EVENTS	LISP-PLUS-SURFACE2	function	(STORE)	(STORE)	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	other	no additional observation
LISP-PLUS-SURFACE2	VERIFY-RECEIPT	LISP-PLUS-SURFACE2	function	(RECEIPT)	(RECEIPT)	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	receipt verifier	Surface /2 ONLY. Measured: returns T on a native S2 receipt; SIGNALS SURFACE2-EXPANSION-REFUSED on a foreign (S1) receipt -- it does not return NIL.
LISP-PLUS-SURFACE2	WITH-OUTCOME	LISP-PLUS-SURFACE2	macro	(BINDING &BODY BODY)	(BINDING &BODY BODY)	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	macro head (Surface /2-owned)	no additional observation
